
== Acceleration
sthene, 0.001, 0.0

== Light
centimeter-candle, 1.0, 0.0
flame, 232.2576, 0.0
foot-candle, 929.0304, 0.0
lumen/cm², 1.0, 0.0
lumen/ft², 929.030, 0.0
lux (lumen/m²), 10000.0, 0.0
meter-candle, 10000.0, 0.0
nox, 10000000.0, 0.0
phot, 1.0, 0.0
watt/cm², 0.00146412884334, 0.0

== Mass,Weight
carat, 5000.0, 0.0
drachm, 564.3833911932866, 0.0
earth mass (M⊕), 1.67400398206061581e-25, 0.0
grain (gr), 15432.35835294143065, 0.0
gram (g), 1000.0, 0.0
jupiter mass, 5.266979064014641e-28, 0.0
hundredweight (cwt), 0.0196841305522212, 0.0
kilogram (kg), 1.0, 0.0
megagram (Mg), 0.001, 0.0
metric ton (t), 0.001, 0.0
microgram (µg), 1.0e+9, 0.0
milligram (mg), 1.0e+6, 0.0
ounce (oz), 35.2739619806867227, 0.0
pennyweight (dwt), 643.01493137255961, 0.0
pound (lb), 2.20462262379292017, 0.0
slug, 0.068521765843675, 0.0
solar mass (M☉), 5.0278543128934296e-31, 0.0
stone, 0.157473044556637155, 0.0
ton (tn), 0.00110231131189646, 0.0
troy ounce (oz), 32.15074656862798, 0.0
funt (фунт), 2.4418999955020202083, 0.0
pood (пуд), 0.0610474998875505052, 0.0
assload, 0.333333333333333333, 0.0
shit-ton, 0.00000055115565594823, 0.0

== Power
BTU/hour, 3415.179027, 0.0
BTU/minute, 56.91965045, 0.0
BTU/second, 0.9486608408, 0.0
calorie/sec, 239.0585106, 0.0
horsepower, 1.34102209, 0.0
kilowatt, 1.0, 0.0
lb-ft/min, 44253.72896, 0.0
lb-ft/sec, 737.5621493, 0.0
megawatt, 0.001, 0.0
watt, 1000.0, 0.0

== Pressure
atmosphere (atm), 0.0680459639, 0.0
bar, 0.06894757, 0.0
centimeter mercury, 5.171493, 0.0
dyne/cm², 68947.57, 0.0
inch mercury, 2.036021, 0.0
inch water, 27.7075924014815, 0.0
kilogram/cm², 0.07030696, 0.0
kilogram/m², 703.0696, 0.0
kilopascal (kPa), 6.894757, 0.0
megapascal (MPa), 0.006894757, 0.0
millibar, 68.94757, 0.0
millimeter mercury, 51.71493, 0.0
pascal (Pa), 6894.757, 0.0
pound/inch² (PSI), 1.0, 0.0
pound/foot², 144.0, 0.0
torr, 51.71493, 0.0

== Radiation dose
gray (Gy), 1.0, 0.0
rad, 100.0, 0.0
röntgen (R), 115.0, 0.0

== Radioactivity
becquerel (Bq), 1.0, 0.0
curie (Ci), 2.7027027027027027e-11, 0.0
rutherford (rd), 0.000001, 0.0

== SI prefixes
yotta (Y), 1.0e-24, 0.0
zetta (Z), 1.0e-21, 0.0
exa (E), 1.0e-18, 0.0
peta (P), 1.0e-15, 0.0
tera (T), 1.0e-12, 0.0
giga (G), 1.0e-9, 0.0
mega (M), 1.0e-6, 0.0
kilo (k), 0.001, 0.0
hecto (h), 0.01, 0.0
deca (da), 0.1, 0.0
[one], 1.0, 0.0
deci (d), 10.0, 0.0
centi (c), 100.0, 0.0
milli (m), 1000.0, 0.0
micro (µ), 1.0e+6, 0.0
nano (n), 1.0e+9, 0.0
pico (p), 1.0e+12, 0.0
femto (f), 1.0e+15, 0.0
atto (a), 1.0e+18, 0.0
zepto (z), 1.0e+21, 0.0
yocto (y), 1.0e+24, 0.0

== Speed
foot/sec, 3280.839895013123, 0.0
foot/min, 196850.39370078738, 0.0
foot/hour, 11811023.622047243, 0.0
kilometer/sec, 1.0, 0.0
kilometer/min, 60.0, 0.0
kilometer/hour, 3600.0, 0.0
knot, 1943.84449244060475, 0.0
light speed (c), 3.3356409519815205e-6, 0.0
mach, 2.9385836, 0.0
meter/sec, 1000.0, 0.0
meter/min, 60000.0, 0.0
meter/hour, 3.6e+6, 0.0
mile/sec, 0.6213711922373339, 0.0
mile/min, 37.282271534240034, 0.0
mile/hour, 2236.936292054402, 0.0

== Temperature
celsius (°C), 1.0, 0.0
delisle (°De), -1.5, 150.0
fahrenheit (°F), 1.8, 32.0
kelvin (K), 1.0, 273.15
newton (°N), 0.33, 0.0
rankine (°Ra), 1.8, 491.67
réaumur (°R), 0.8, 0.0
rømer (°Rø), 0.525, 7.5

== Time
century, 2.73790933079226e-5, 0.0
day, 1.0, 0.0
decade, 0.000273790933079226, 0.0
eon, 2.73790933079226e-9, 0.0
fortnight, 0.071428571428571429, 0.0
hour, 24.0, 0.0
microsecond (µs), 8.64e+10, 0.0
millennium, 2.73790933079226e-6, 0.0
millisecond (ms), 8.64e+7, 0.0
minute, 1440.0, 0.0
month (30 days), 0.0333333333333333, 0.0
nanosecond, 8.64e+13, 0.0
second (s), 86400.0, 0.0
week, 0.14285714285714286, 0.0
year, 0.00273790933079226, 0.0

== Torque
newton meter, 1.0, 0.0
newton cm, 100.0, 0.0
newton mm, 1000.0, 0.0
dyne meter, 100000.0, 0.0
dyne cm, 10000000.0, 0.0
dyne mm, 100000000.0, 0.0
kg-force meter, 0.10197162129779, 0.0
kg-force cm, 10.197162129779, 0.0
kg-force mm, 101.97162129779, 0.0
gram-force meter, 101.97162129779, 0.0
gram-force cm, 10197.162129779, 0.0
gram-force mm, 101971.62129779, 0.0
oz-force foot, 11.800994078, 0.0
oz-force inch, 141.611928936, 0.0
lb-force foot, 0.737562121, 0.0
lb-force inch, 8.850745454, 0.0

== Volume
centimeter³, 1000.0, 0.0
meter³, 0.001, 0.0
dram, 270.51218161474397756, 0.0
yard³, 0.0013079506193144, 0.0
foot³, 0.0353146667214886, 0.0
inch³, 61.023744094732284, 0.0
liter, 1.0, 0.0
milliliter, 1000.0, 0.0
gallon (US), 0.264172052358148416, 0.0
quart (US), 1.05668820943259366, 0.0
pint (US), 2.11337641886518732, 0.0
ounce (US), 33.81402270184299719, 0.0
gallon (Imp), 0.21996924829908779, 0.0
quart (Imp), 0.87987699319635115, 0.0
pint (Imp), 1.7597539863927023, 0.0
ounce (Imp), 35.195079727854046, 0.0
gill (Imp), 7.0390159455708092, 0.0
cup, 4.22675283773037465, 0.0
tablespoon, 67.62804540368599439, 0.0
teaspoon, 202.88413621105798317, 0.0
acre-foot, 8.1071319378991254e-7, 0.0
scruple (℈), 844.681913473253688, 0.0
drachm (ʒ), 281.560637822832368, 0.0
minim (♏), 16893.63826937945525, 0.0
